"","Applications Name","      Mean","      Variance","Standard Deviation"
"1","Ola",4.06491304694126,1.88913017951362,1.37445632142808
"2","Quora",4.52484470370711,0.837043375723035,0.914900746378007
"3","ZEE5 ",4.0488721524364,2.0628480738058,1.43626184026653
"4","OLX",4.3475095451708,1.22857584981017,1.108411408192
"5","Hotstar",4.31544481891242,1.2971436227722,1.13892213200561
"6","Goibibo ",4.3268909588813,1.34190825446325,1.15840763743306
"7","Flipkart",4.45721328194305,0.87457098541546,0.935185000636484
"8","Truecaller",4.55256840469584,0.798255134577678,0.893451249133201
"9","TikTok",4.38595761878375,1.53979231499286,1.24088368310364
"10","Dailyhunt",4.31898964235928,1.12936610782248,1.06271638164774
"11","AppLock",4.37009075640957,1.27294044576076,1.12824662452886
"12","JioTV",4.38043559087541,1.29057585250951,1.13603514580734
"13","Cricbuzz",4.41620936756127,1.1758404391638,1.0843617658161
"14","Unacademy",4.7328286147212,0.468039880698242,0.684134402510385
"15","Instagram",4.5219800807441,0.949809577370187,0.974581744837337
"16","CamScanner",4.5788589296844,0.69132905284172,0.831461997232417
"17","Ludo King",4.43217786140784,1.20479168511729,1.09763003107481
"18","Facebook Lite",4.29232593245339,1.4534487080183,1.20559060547862
"19","BookMyShow",4.33269489750112,1.13131807046177,1.06363436878552
"20","Subway Surfers",4.49788691052685,1.10284293237672,1.05016328843505
"21","WPS Office",4.46098601584594,0.972519624813899,0.98616409629123
"22","Amazon India",4.35690870759842,1.2748525256331,1.1290936744279
"23","BBC News",4.36634714791251,1.03077138629879,1.01526912013455
"24","MX Player",4.48482705611068,1.02002137838322,1.00996107765756
"25","PUBG MOBILE",4.54590718273451,1.199863324184,1.09538272954434
"26","Google Pay (Tez) ",4.53047694796936,1.00681458189117,1.00340150582465
"27","UC Browser Mini",4.4107213818717,1.18624889025478,1.08915053608525
"28","Aaj Tak Live",4.1972513562387,1.61805392777845,1.27202748703731
"29","Where is my Train",4.63441143086855,0.622638005758337,0.789074144652033
"30","IRCTC Rail Connect",4.29857721250221,1.35994339261685,1.16616610850121
